UKPRN,PROVIDER_NAME,ALIAS_TEXT,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,COUNTY,POSTCODE,WEBSITE_ADDRESS,,Latitude,Longitude,Easting,Northing
10002681,GLASGOW SCHOOL OF ART.,,,167,RENFREW STREET,,GLASGOW,,G3 6RQ,www.gsa.ac.uk,,55.865964,-4.263406,258456,665959
10002718,GOLDSMITHS' COLLEGE,"Goldsmiths, University of London",,GOLDSMITHS COLLEGE 8,LEWISHAM WAY,,LONDON,,SE14 6NW,www.gold.ac.uk,,51.474144,-0.035401,536540,176850
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Imperial College London,,FACULTY BUILDING,EXHIBITION ROAD,,LONDON,,SW7 2AZ,www.imperial.ac.uk,,51.500505,-0.178219,526549,179525
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),,,123,OLD BROMPTON ROAD,,LONDON,,SW7 3RP,www.icr.ac.uk,,51.490712,-0.181692,526335,178430
10003614,UNIVERSITY OF WINCHESTER,,,,SPARKFORD ROAD,,WINCHESTER,HAMPSHIRE,SO22 4NR,www.winchester.ac.uk,,51.060009,-1.326056,447327,129179
10003645,KING'S COLLEGE LONDON,,,,STRAND,,LONDON,,WC2R 2LS,www.kcl.ac.uk,,51.510733,-0.116938,530773,180770
10003678,KINGSTON UNIVERSITY,,,RIVER HOUSE 53-57,HIGH STREET,,KINGSTON UPON THAMES,SURREY,KT1 1LQ,www.kingston.ac.uk,,51.406309,-0.307846,517794,168834
10003854,LEEDS COLLEGE OF ART,,,,BLENHEIM WALK,,LEEDS,,LS2 9AQ,www.leeds-art.ac.uk,,53.808449,-1.551775,429614,434777
10003861,LEEDS METROPOLITAN UNIVERSITY,Leeds Metropolitan University,,CITY CAMPUS,,,LEEDS,,LS1 3HE,www.leedsmet.ac.uk,,53.803649,-1.549139,429791,434244
10003863,LEEDS TRINITY UNIVERSITY,,,,BROWNBERRIE LANE,HORSFORTH,LEEDS,,LS18 5HD,www.leedstrinity.ac.uk,,53.84856,-1.648096,423249,439204
10003945,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,LIPA,,,Mount Street,,Liverpool,,L1 9HF,www.lipa.ac.uk,,53.399661,-2.972272,335451,389644
10003956,LIVERPOOL HOPE UNIVERSITY,,,HOPE PARK,TAGGART AVENUE,,LIVERPOOL,,L16 9JD,www.hope.ac.uk,,53.39148,-2.891936,340781,388664
10003957,LIVERPOOL JOHN MOORES UNIVERSITY,,,RODNEY HOUSE 70,MOUNT PLEASANT,,LIVERPOOL,,L3 5UX,www.ljmu.ac.uk,,53.40369,-2.973176,335397,390093
